Date,High,Low,Open,Close
30-04-2015,0.0080799,0.00801848,0.00803457,0.00801848
01-05-2015,0.00807709,0.00797763,0.0080198,0.00803712
02-05-2015,0.00811473,0.00801256,0.00803589,0.00805545
03-05-2015,0.00806959,0.00799683,0.00805716,0.00801697
04-05-2015,0.00802011,0.00790952,0.00801667,0.00790952
05-05-2015,0.00792014,0.00777004,0.00792014,0.00778238
06-05-2015,0.00779051,0.00752573,0.00778707,0.00752867
07-05-2015,0.00753092,0.00739015,0.00753092,0.00749133
08-05-2015,0.00764624,0.00747737,0.00749202,0.00757382
09-05-2015,0.00757177,0.00737438,0.00757177,0.00738246
10-05-2015,0.00741321,0.00736011,0.00737931,0.00736026
11-05-2015,0.00737074,0.00721325,0.00736459,0.00721325
12-05-2015,0.00722622,0.00685693,0.00720934,0.00685693
13-05-2015,0.00685315,0.00659818,0.00685295,0.00660237
14-05-2015,0.00668458,0.00656265,0.00660279,0.00665521
15-05-2015,0.00666667,0.00655879,0.00665513,0.00658775
16-05-2015,0.00658619,0.00632889,0.00658619,0.00632913
17-05-2015,0.00632931,0.00574536,0.00632736,0.00574805
18-05-2015,0.00653941,0.00569714,0.00574644,0.00653941
19-05-2015,0.00680344,0.00653652,0.00653652,0.0066357
20-05-2015,0.00665788,0.00654905,0.00663612,0.00657259
21-05-2015,0.00665336,0.00655216,0.00657297,0.00664944
22-05-2015,0.00682291,0.00663797,0.00663888,0.00679995
23-05-2015,0.00685728,0.00676217,0.00679831,0.00680917
24-05-2015,0.00695141,0.00679753,0.00684275,0.00692489
25-05-2015,0.00697436,0.00676376,0.00692822,0.00679358
26-05-2015,0.00701938,0.00677441,0.00679212,0.00693675
27-05-2015,0.00785713,0.00692143,0.00694073,0.00785713
28-05-2015,0.00917863,0.00781273,0.0078368,0.00905644
29-05-2015,0.00909427,0.00833514,0.00905954,0.00840912
30-05-2015,0.00845454,0.00817531,0.00840297,0.0082901
31-05-2015,0.00829464,0.00756318,0.00827578,0.00757852
01-06-2015,0.00798539,0.00742911,0.00758243,0.00798059
02-06-2015,0.00814565,0.00795182,0.00800656,0.00801199
03-06-2015,0.00800955,0.00787936,0.00800955,0.00787936
04-06-2015,0.00797222,0.00787142,0.00788426,0.00795649
05-06-2015,0.00796057,0.0078948,0.00795567,0.00790513
06-06-2015,0.00795434,0.00785093,0.0079055,0.00787403
07-06-2015,0.00800458,0.00786607,0.00786686,0.0079995
08-06-2015,0.00801874,0.00796296,0.00800881,0.00799489
09-06-2015,0.00803574,0.00798228,0.00798419,0.00799855
10-06-2015,0.00804221,0.00799631,0.00799856,0.00804221
11-06-2015,0.00808427,0.00799245,0.00804133,0.00805721
12-06-2015,0.00813634,0.00799379,0.00799379,0.00809285
13-06-2015,0.00823897,0.0080786,0.00809324,0.00814671
14-06-2015,0.00858136,0.0081443,0.00814577,0.00857882
15-06-2015,0.00945717,0.00858035,0.00858046,0.00942366
16-06-2015,0.00977443,0.00940881,0.00942722,0.00967843
